Duration (in seconds),Exlcude_Speed,Finished,clarity_ai_mw_01_1 ,clarity_ai_mw_02_1,clarity_ai_mw_03_1,clarity_ai_mw_04_1,clarity_ai_mw_05_1,clarity_ai_wd_01_1,clarity_ai_wd_02_1,clarity_ai_wd_03_1,clarity_ai_wd_04_1,clarity_ai_wd_05_1,clarity_ai_yd_01_1,clarity_ai_yd_02_1,clarity_ai_yd_03_1,clarity_ai_yd_04_1,clarity_ai_yd_05_1,AVERAGECLARITYAI,clarity_hum_mw_01_1,clarity_hum_mw_02_1,clarity_hum_mw_03_1,clarity_hum_mw_04_1,clarity_hum_mw_05_1,clarity_hum_wd_01_1,clarity_hum_wd_02_1,clarity_hum_wd_03_1,clarity_hum_wd_04_1,clarity_hum_wd_05_1,clarity_hum_yd_01_1,clarity_hum_yd_02_1,clarity_hum_yd_03_1,clarity_hum_yd_04_1,clarity_hum_yd_05_1,AVERAGECLARITYHUMAN,quality_ai_mw_01_1,quality_ai_mw_02_1,quality_ai_mw_03_1,quality_ai_mw_04_1,quality_ai_mw_05_1,quality_ai_wd_01_1,quality_ai_wd_02_1,quality_ai_wd_03_1,quality_ai_wd_04_1,quality_ai_wd_05_1,quality_ai_yd_01_1,quality_ai_yd_02_1,quality_ai_yd_03_1,quality_ai_yd_04_1,quality_ai_yd_05_1,AVERAGEQUALITY_AI,quality_hum_mw_01_1,quality_hum_mw_02_1,quality_hum_mw_03_1,quality_hum_mw_04_1,quality_hum_mw_05_1,quality_hum_wd_01_1,quality_hum_wd_02_1,quality_hum_wd_03_1,quality_hum_wd_04_1,quality_hum_wd_05_1,quality_hum_yd_01_1,quality_hum_yd_02_1,quality_hum_yd_03_1,quality_hum_yd_04_1,quality_hum_yd_05_1,AVERAGEQUALITY_HUM,Fatalism_1,Fatalism_2,Fatalism_3,Fatalism_4,Fatalism_5,Fatalism_6,Fatalism_7,Fatalism_8,Fatalism_9,Fatalism_10,Fatalism_11,Fatalism_12,Fatalism_13,Fatalism_14,Fatalism_15,Fatalism_16,Fatalism_17,Fatalism_18,Fatalism_19,age,gender_1man_2woman,english_first_language_0no_1yes,language_other,time_in_uae(1alllife|2=0-3yrs|3=4-7yrs|9morethan8years),nationality,work,car_driving,religion,marital,education_years,income
1067,1,1,5,5,5,4,5,5,5,4,5,3,5,5,2,5,1,4.27,5,5,5,5,5,5,4,5,2,5,5,5,5,5,5,4.73,5,3,5,2,5,1,5,4,5,5,1,2,1,1,1,3.07,5,1,5,5,3,4,1,2,1,4,4,4,5,4,5,3.53,4,4,5,5,5,5,1,2,1,1,4,4,5,3,3,3,1,3,3,22,2,0,arabic,1,jordanian,job,2,muslim,single,4,150000
1061,1,1,2,2,3,2,3,3,3,2,3,1,3,2,2,3,2,2.4,5,3,3,2,5,5,2,1,4,3,4,2,1,2,5,3.13,4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4.13,4,4,4,4,4,5,4,3,5,4,4,4,4,5,4,4.13,4,4,5,5,5,4,4,5,5,4,4,4,5,4,2,1,4,2,4,,2,1,english,1,uae,job,11,muslim,single,4,65000
1019,1,1,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,4.8,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,4.80,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,4.8,5,3,5,4,5,5,3,4,5,5,5,4,5,4,5,4.47,1,1,5,1,1,1,3,2,2,4,4,4,1,4,1,1,1,2,1,30,2,0,arabic,1,uae,job,12,muslim,single,4,30000
1251,1,1,5,4,4,4,2,3,5,3,1,4,3,5,3,3,4,3.53,5,4,5,4,5,3,1,5,5,4,2,2,2,3,4,3.60,5,5,4,3,2,5,3,5,4,4,4,4,2,4,4,3.87,5,1,5,4,5,5,5,5,5,5,4,5,3,5,4,4.4,1,1,5,5,5,4,1,4,4,2,1,5,5,4,4,1,5,5,5,34,1,0,,9,uae,job,18,muslim,single,4,30000
1430,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,4,5,4.73,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,2,3,5,5,5,5,5,4,5,4.47,5,5,1,5,5,5,2,1,1,2,5,5,5,5,5,1,5,4,1,32,2,0,arabic,1,uae,job,11,muslim,divorced,4,30000
1530,1,1,3,5,4,3,4,3,3,4,3,2,4,4,4,4,4,3.6,3,5,4,4,5,5,4,4,5,5,3,5,3,4,4,4.20,5,4,3,4,4,3,3,3,3,2,4,4,4,4,4,3.6,5,5,3,4,3,4,5,3,5,4,4,4,4,4,5,4.13,3,4,5,5,5,5,3,2,3,3,4,4,3,4,3,3,4,4,3,23,2,0,arabic,1,uae,student,6,muslim,single,4,65000
1586,1,1,3,4,4,3,3,3,4,3,4,4,4,4,3,4,4,3.6,3,3,3,4,4,4,4,4,3,4,4,4,3,4,3,3.60,3,1,3,2,4,4,3,4,3,3,4,4,4,4,3,3.27,4,3,3,3,4,1,3,3,5,3,3,2,3,2,4,3.07,5,5,5,4,5,2,2,2,4,3,3,2,4,4,2,3,4,4,4,26,2,0,arabic,1,uae,student,8,muslim,married,4,65000
406,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,1,english,,,,,,,,
621,1,1,2,1,2,2,5,1,2,3,1,2,5,2,4,5,4,2.73,1,3,1,5,1,2,2,1,2,5,1,3,5,1,5,2.53,3,2,4,1,3,2,4,1,4,4,2,1,5,4,4,2.93,5,1,1,1,4,2,2,1,4,5,4,3,1,1,3,2.53,3,3,5,3,5,5,3,3,2,2,3,3,3,4,3,3,2,5,2,22,2,0,arabic,1,uae,student,5,muslim,single,3,90000
694,1,1,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4.8,5,5,5,5,5,5,3,4,5,5,5,4,4,4,5,4.60,5,5,4,5,5,5,4,5,4,4,4,4,5,5,5,4.6,5,3,5,5,5,5,3,5,5,5,5,5,5,4,5,4.67,4,4,3,4,3,2,4,1,3,2,3,3,3,4,4,3,3,2,3,,2,0,arabic,1,uae,student,none,muslim,single,2,30000
527,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,4,5,5,4,5,5,5,4,5,5,5,5,4,5,5,4.73,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,4.87,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,2,1,english,1,uae,student,none,muslim,single,1,30000
877,1,1,5,3,3,2,2,4,3,2,4,2,3,3,2,3,3,2.93,5,3,3,4,5,3,2,3,4,5,5,3,3,2,5,3.67,5,3,2,2,4,4,3,3,5,4,3,3,2,4,4,3.4,5,2,3,5,4,4,2,3,5,4,4,2,3,4,5,3.67,4,4,3,2,5,2,3,3,4,3,5,5,4,5,5,2,3,2,2,22,2,0,arabic,1,uae,student,4,muslim,single,3,30000
1255,1,1,4,3,2,1,4,4,4,4,1,3,1,4,1,5,3,2.93,5,4,5,5,5,5,4,5,5,5,5,4,5,2,5,4.60,4,2,3,2,3,4,5,2,2,2,2,5,2,5,4,3.13,4,4,4,4,5,4,4,4,5,2,5,4,5,3,4,4.07,5,5,4,5,5,5,4,2,4,2,4,4,2,2,4,4,2,4,4,,2,0,arabic,1,jordanian,student,1,muslim,single,3,30000
770,1,1,4,2,4,1,3,2,1,3,3,1,1,3,1,2,2,2.2,5,5,3,4,5,5,1,3,5,4,5,1,3,2,5,3.73,3,3,4,1,2,4,3,2,4,2,1,3,1,5,3,2.73,5,1,4,3,5,5,3,4,4,5,5,1,3,2,4,3.6,5,5,5,5,5,5,5,4,4,3,4,5,5,5,3,4,4,4,4,,2,0,arabic,1,uae,student,1,muslim,single,3,30000
1607,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4.87,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4.87,5,3,5,5,5,5,3,3,5,5,5,5,5,5,5,4.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,25,2,0,arabic,1,uae,student,none,muslim,single,2,150000
544,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,4.8,4,3,5,3,5,3,5,5,5,5,5,4,5,5,5,4.47,5,5,5,5,4,5,4,3,5,5,5,5,5,5,5,4.73,5,4,5,5,5,5,5,4,5,5,4,4,5,5,4,4.67,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,2,1,arabic,9,uae,student,0.2,muslim,single,0,30000
499,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4.87,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4.73,5,2,3,5,1,1,1,2,5,5,1,1,4,3,5,2.93,5,5,1,5,3,5,2,4,2,3,3,5,5,1,5,3.6,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,18,2,0,arabic,1,uae,,1,muslim,single,0,30000
1022,1,1,2,3,3,2,3,3,2,2,2,3,2,3,2,2,3,2.47,3,2,2,2,2,2,2,3,3,2,3,3,2,3,3,2.47,3,3,3,4,3,4,4,4,3,3,3,4,3,4,3,3.4,3,3,3,3,4,3,4,2,3,3,3,3,3,3,3,3.07,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,20,2,0,,1,,,,muslim,single,2,
838,1,1,4,4,5,5,4,5,5,4,4,5,5,3,5,4,4,4.4,5,5,5,5,5,3,3,5,5,4,4,3,5,5,4,4.40,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,4.8,5,4,4,5,5,5,4,5,5,5,5,5,5,4,5,4.73,5,4,5,4,5,4,2,3,3,3,4,4,5,5,5,4,4,4,5,18,2,0,arabic,1,uae,,0.25,muslim,single,0,30000
3215,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,4.87,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,2,4,5,5,5,5,5,5,5,4.47,5,5,5,5,5,4,3,3,3,3,5,5,4,5,5,5,4,3,5,19,2,0,arabic,1,uae,student,1,muslim,single,1,30000
726,1,1,5,5,4,4,5,5,4,4,5,5,5,4,5,4,5,4.6,4,5,4,5,4,5,5,5,4,5,5,4,5,4,5,4.60,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4.93,5,5,3,3,4,2,1,3,2,3,3,3,2,4,4,2,3,4,3,20,2,0,-,1,uae,student,none,muslim,single,2,30000
845,1,1,3,5,5,2,4,3,3,3,3,2,2,2,4,5,2,3.2,5,5,3,5,5,5,2,5,4,5,3,5,5,5,4,4.40,4,4,5,1,4,1,2,2,1,3,1,2,1,4,3,2.53,5,3,2,3,5,5,3,3,5,5,3,5,4,3,5,3.93,1,1,1,1,1,1,3,3,3,3,4,4,4,4,4,4,3,3,3,22,2,1,english,1,phillipines,,5,other,single,3,30000
359,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4.80,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,2,3,3,3,3,3,4,3,5,2,2,3,3,2,18,2,0,arabic,1,uae,job,1,muslim,single,1,65000
367,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,1,1,5,5,5,5,5,5,2,5,5,19,2,0,,1,uae,,1,muslim,single,1,30000
519,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,4,5,4.73,4,5,5,5,5,5,3,2,3,2,4,3,4,4,3,4,3,4,5,20,2,0,arabic,1,uae,student,3,muslim,single,2,30000
300,1,1,2,3,5,5,5,4,5,4,4,5,4,5,5,5,4,4.33,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4.87,5,5,5,4,4,5,5,5,5,4,5,4,5,5,5,4.73,5,4,5,5,5,5,5,4,5,4,5,5,5,4,5,4.73,2,1,1,1,2,2,2,2,2,2,2,1,1,3,1,1,1,1,2,19,2,0,arabic,1,uae,student,0.25,muslim,single,6,30000
503,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4.93,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4.87,5,5,3,5,4,5,5,5,5,5,4,3,5,5,5,4.6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,3,1,english,2,,,,other,married,0,150000
1348,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.00,3,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1.53,3,3,1,3,3,3,3,1,4,4,2,4,1,1,2,2.53,4,4,5,5,5,4,2,2,2,4,4,4,4,4,4,2,2,2,4,35,2,0,arabic,1,uae,job,10,muslim,single,5,65000
1114,1,1,5,3,4,5,4,4,4,2,4,2,1,4,4,1,2,3.27,5,4,2,3,4,4,4,2,4,5,5,5,5,2,5,3.93,5,1,3,3,3,4,4,3,5,2,2,3,4,4,3,3.27,5,4,5,4,5,4,2,2,4,5,5,4,4,4,5,4.13,4,4,5,4,5,4,3,3,1,4,4,4,4,4,3,5,3,4,5,30,2,0,arabic,1,,student,15,muslim,single,4,30000
605,1,1,3,1,3,3,4,3,2,3,3,2,2,5,2,3,3,2.8,5,3,2,2,3,2,2,2,2,3,3,2,2,3,4,2.67,3,3,2,4,4,3,3,4,5,2,3,5,4,3,3,3.4,3,1,2,2,4,3,1,4,3,4,2,3,3,3,3,2.73,3,3,3,3,5,3,3,2,3,2,3,3,3,3,5,3,3,3,3,31,2,0,arabic,9,saudi,job,7,muslim,single,5,30000
638,1,1,3,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1.73,4,1,5,5,3,1,1,4,1,2,5,1,5,3,3,2.93,3,3,3,1,1,3,4,3,4,2,1,4,3,1,2,2.53,3,1,3,4,4,1,2,3,3,3,3,3,3,3,2,2.73,4,4,3,4,5,1,2,3,3,3,5,4,5,5,5,3,3,3,4,26,2,0,arabic,1,yemen,job,8,muslim,single,4,150000
1414,1,1,5,3,3,3,3,4,3,3,4,3,3,3,3,4,2,3.27,5,5,2,4,5,5,4,2,5,5,5,5,3,3,5,4.20,5,4,4,4,5,5,5,4,4,4,3,3,3,4,3,4,5,3,4,5,5,5,3,3,5,5,5,4,4,4,5,4.33,3,5,5,4,3,5,2,2,3,3,5,5,3,5,5,4,5,4,5,,1,0,arabic,1,iraqi,job,10,muslim,single,2,10000
911,1,1,1,2,1,1,2,5,1,2,1,3,1,2,2,4,2,2,4,4,1,4,2,4,1,1,4,3,2,3,1,2,4,2.67,3,2,3,3,4,1,2,3,2,1,3,3,2,3,3,2.53,5,2,2,2,5,3,2,2,4,1,2,2,2,3,4,2.73,3,3,5,4,4,2,1,3,2,2,3,5,4,4,3,3,5,3,2,,1,0,arabic,9,greek,job,6,muslim,single,4,150000
685,1,1,5,4,5,4,5,5,5,5,5,5,5,5,5,5,3,4.73,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,4.87,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,4.73,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,4.87,5,5,4,4,5,4,1,1,1,1,4,4,4,5,5,1,3,3,5,20,2,0,arabic,1,uae,job,3,muslim,single,3,90000
875,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4.93,5,4,5,5,4,4,3,2,2,3,4,4,4,5,4,5,2,4,5,36,1,0,arabic,2,algerian,job,10,muslim,married,5,30000
673,1,1,4,3,4,3,2,3,3,3,4,3,3,2,3,3,2,3,5,5,4,4,3,5,1,2,5,3,5,4,3,1,5,3.67,5,4,4,3,5,4,4,4,3,3,4,3,3,5,4,3.87,5,3,3,4,5,5,1,4,5,3,5,4,3,1,3,3.6,3,4,5,2,5,1,1,1,1,1,5,5,5,4,5,1,4,4,2,25,1,0,arabic,1,palestinian,job,4,muslim,single,4,30000
529,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4.93,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,19,2,0,arabic,1,uae,,2,other,single,6,30000
502,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,5,5,4,4,4,3,5,3,2,5,3,5,4,4,5,,1,0,arabic,1,uae,,10,muslim,single,3,65000
1167,1,1,2,3,4,2,4,2,2,2,4,2,3,2,1,2,3,2.53,5,4,3,3,4,5,2,2,5,4,5,3,2,2,5,3.60,4,2,4,1,3,3,4,3,3,2,5,2,2,4,2,2.93,4,2,2,4,4,5,1,2,5,4,5,3,3,2,5,3.4,4,4,2,2,5,4,2,1,1,2,4,2,2,4,2,1,2,2,4,49,1,0,turkish,2,turkish,job,20,muslim,married,5,30000
1501,1,1,5,2,5,5,5,5,5,1,5,5,2,5,5,5,5,4.33,5,5,2,5,5,5,5,2,5,5,2,5,2,5,2,4.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,5,5,5,1,5,5,5,3.93,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,4,5,23,1,0,kerala,2,indian,job,2,hindu,single,0,10000
1642,1,1,5,5,5,5,5,2,5,5,2,5,5,2,2,5,2,4,5,5,5,5,5,2,2,5,5,5,5,5,5,2,5,4.40,4,5,4,5,5,5,5,5,4,5,4,5,4,5,5,4.67,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,4.8,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,5,5,23,1,0,hindi,2,indian,job,3,muslim,single,3,30000
709,1,1,5,2,2,2,2,2,2,3,1,2,2,2,2,2,3,2.27,4,5,2,2,2,2,2,2,5,3,2,2,2,2,4,2.73,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2.93,4,3,3,3,4,3,3,3,3,3,3,2,3,3,5,3.2,3,4,4,5,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,,2,1,,9,pakistani,job,8,muslim,single,5,30000
519,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,36,1,1,,2,pakistani,job,15,muslim,married,6,30000
654,1,1,4,2,3,3,4,4,4,3,3,2,3,2,2,3,3,3,4,3,4,2,4,3,3,2,5,4,2,2,3,1,4,3.07,4,4,4,4,3,3,4,2,3,2,3,4,2,4,3,3.27,4,2,4,3,3,2,2,3,4,3,4,3,2,2,3,2.93,5,4,5,5,5,5,4,4,4,3,4,4,3,4,3,5,4,4,5,35,1,1,,9,pakistani,job,8,muslim,single,5,30000
794,1,1,5,4,3,3,4,3,2,3,3,1,2,3,4,2,3,3,4,4,2,5,3,4,4,3,3,5,5,3,3,1,2,3.40,2,3,2,1,3,3,1,3,1,2,2,4,1,3,3,2.27,2,2,5,5,5,4,4,5,4,5,4,1,3,3,3,3.67,5,5,3,5,5,3,3,2,1,1,2,3,3,5,3,1,3,1,5,,1,0,arabic,2,jordanian,job,22,muslim,married,6,30000
762,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4.93,1,5,5,4,4,4,4,4,5,3,5,5,4,5,5,4.2,5,3,5,5,4,4,3,2,4,4,5,4,4,4,4,4,3,3,2,4,3,3,2,2,3,2,4,5,5,4,4,2,3,3,3,31,1,0,urdu,2,pakistani,job,13,christian,single,5,30000
309,1,1,3,4,3,4,3,4,3,3,5,4,3,4,2,3,5,3.53,5,5,3,5,3,4,4,3,5,4,4,5,2,2,4,3.87,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3.13,4,4,3,3,3,3,3,3,4,4,3,3,3,3,5,3.4,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,30,2,0,arabic,2,jordanian,job,13,christian,single,4,10000
684,1,1,5,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3.27,3,3,3,4,3,5,4,3,3,1,5,3,3,3,5,3.40,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,22,2,0,,1,uae,student,2,muslim,single,6,
593,1,1,5,4,5,4,3,4,4,3,5,3,5,5,5,3,4,4.13,3,5,5,3,4,3,5,5,4,4,5,5,3,4,4,4.13,4,5,5,4,4,5,5,5,4,4,4,4,4,4,4,4.33,4,4,4,5,4,5,4,4,4,5,4,3,4,4,5,4.2,5,4,5,4,5,5,3,3,4,3,4,5,4,4,5,3,4,5,4,22,1,0,arabic,1,uae,student,5,muslim,single,2,10000
822,1,1,2,2,3,2,2,3,4,2,2,2,4,2,4,3,2,2.6,2,1,2,5,3,5,2,2,3,5,5,2,4,2,5,3.20,4,2,3,2,3,2,4,3,3,3,3,5,1,5,2,3,4,2,5,4,2,4,2,2,2,3,4,2,3,2,4,3,5,5,5,5,5,5,2,2,1,2,4,4,4,4,3,3,4,4,5,,1,0,,2,uae,job,10,muslim,married,3,30000
862,1,1,3,4,5,5,5,5,5,4,3,5,4,5,3,5,2,4.2,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4.87,4,4,5,4,5,5,5,5,5,4,5,4,4,4,5,4.53,4,5,5,5,5,5,4,5,5,5,5,4,4,5,5,4.73,4,5,1,5,5,5,3,4,2,5,5,4,5,5,4,1,3,4,4,,2,0,arabic,2,,,,,,,
1729,1,1,5,3,5,3,4,4,4,3,4,5,4,4,5,3,5,4.07,4,4,5,5,4,5,5,4,4,4,5,4,4,5,5,4.47,4,5,5,5,4,5,4,5,5,4,4,5,5,3,4,4.47,4,4,4,4,4,5,5,3,5,4,4,4,4,4,5,4.2,5,5,5,5,5,5,1,2,2,3,3,4,4,3,2,3,3,4,4,,2,1,,9,jordanian,student,2,muslim,single,2,90000
1745,1,1,5,5,5,5,5,5,4,4,4,4,5,5,3,4,5,4.53,5,5,4,5,5,5,5,4,4,5,5,5,5,4,5,4.73,4,4,5,5,5,4,5,3,5,5,4,5,3,4,5,4.4,5,4,5,5,5,4,5,4,4,5,5,4,5,3,5,4.53,5,5,5,5,5,5,3,3,3,4,3,4,3,4,4,1,3,5,5,19,1,0,arabic,1,uae,student,1,muslim,single,0,30000
325,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,4.87,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1.13,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1.13,4,4,4,4,4,3,3,5,3,4,4,5,4,5,4,5,4,5,4,22,2,0,arabic,1,uae,student,1,muslim,single,3,125000
312,1,1,4,5,4,4,4,5,5,5,4,3,3,5,4,5,4,4.27,4,3,5,5,5,5,4,4,4,4,4,5,5,3,3,4.20,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1.4,1,1,2,1,1,2,1,2,1,2,2,2,2,1,2,1.53,5,4,4,5,4,5,4,5,4,3,4,3,3,5,5,5,3,3,5,,2,0,,1,uae,student,none,muslim,single,3,30000
440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.00,4,5,5,4,4,4,5,5,4,4,4,4,4,4,5,4.33,5,4,4,5,4,4,4,5,5,5,4,5,4,4,4,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2,0,,1,,,,muslim,single,6,150000
696,1,1,5,3,3,3,2,2,3,2,2,2,2,2,2,4,3,2.67,5,5,3,5,5,5,5,2,5,5,2,2,2,2,5,3.87,3,3,3,3,3,5,4,4,3,3,3,3,3,5,4,3.47,5,5,3,5,5,5,5,3,5,5,4,5,3,3,5,4.4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,5,22,2,0,arabic,1,uae,job,3,muslim,single,3,10000
801,1,1,4,3,4,3,4,3,4,4,3,4,4,3,4,4,3,3.6,3,2,4,2,4,3,3,4,2,2,3,3,4,4,3,3.07,4,2,3,4,4,3,3,2,3,3,3,2,2,3,3,2.93,4,3,3,4,3,4,3,2,4,2,4,4,3,2,4,3.27,3,3,3,2,2,4,5,4,4,4,2,2,2,2,2,3,3,2,2,21,2,0,arabic,1,uae,student,none,muslim,single,2,
312,1,1,3,5,5,4,4,5,5,3,5,5,4,5,5,5,5,4.53,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,4.80,3,4,3,5,4,5,4,5,4,5,5,5,3,4,4,4.2,5,4,4,4,5,4,4,5,5,5,5,5,4,3,5,4.47,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,18,2,0,arabic,1,uae,,1,muslim,single,1,65000
580,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,3,3,5,3,5,4,5,3,5,3,5,22,1,0,arabic,1,uae,,4,muslim,single,3,10000
804,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,2,0,arabic,1,uae,,,muslim,married,0,150000
